,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
208,Пролетарский район,Наезд на пешехода,19:15,21.02.2017,54.1853,,,37.6522
209,Центральный район,Наезд на пешехода,16:30,20.02.2017,54.335,,,37.9014
210,Зареченский район,Наезд на пешехода,19:20,17.02.2017,54.3397,,,37.91
211,Зареченский район,Наезд на пешехода,14:00,17.02.2017,54.2192,,,37.6314
212,Пролетарский район,Наезд на пешехода,11:40,16.02.2017,54.3083,,,37.1197
213,Советский район,Наезд на пешехода,09:05,15.03.2017,54.3183,,,37.1119
214,Центральный район,Наезд на пешехода,09:30,14.03.2017,54.185,,,37.6172
215,Центральный район,Наезд на пешехода,09:02,13.03.2017,54.4989,,,37.6103
216,Пролетарский район,Наезд на пешехода,08:15,13.03.2017,54.2222,,,37.6853
217,Привокзальный район,Наезд на пешехода,08:20,09.03.2017,54.2689,,,37.9625
218,Центральный район,Наезд на пешехода,11:40,07.03.2017,54.17,,,37.5922
219,Советский район,Наезд на пешехода,08:30,06.03.2017,54.3183,,,37.9853
220,Зареченский район,Наезд на пешехода,21:45,05.03.2017,54.9186,,,37.6133
221,Привокзальный район,Наезд на пешехода,01:30,04.03.2017,54.1689,,,37.5514
222,Привокзальный район,Наезд на пешехода,20:20,03.03.2017,54.1731,,,37.5747
223,Пролетарский район,Наезд на пешехода,21:15,01.04.2017,54.3361,,,37.1017
224,Пролетарский район,Наезд на пешехода,07:30,31.03.2017,5.3525,,,37.1267
225,Центральный район,Наезд на пешехода,22:25,24.03.2017,54.2781,,,37.9686
226,Пролетарский район,Наезд на пешехода,20:50,21.03.2017,54.2017,,,37.6417
227,Зареченский район,Наезд на пешехода,20:00,19.03.2017,54.335,,,37.1017
228,Зареченский район,Наезд на пешехода,06:20,18.03.2017,54.2011,,,37.6169
229,Пролетарский район,Наезд на пешехода,18:30,13.04.2017,54.2008,,,37.6681
230,Центральный район,Наезд на пешехода,14:55,13.04.2017,54.2739,,,37.9683
231,Привокзальный район,Наезд на пешехода,09:00,12.04.2017,54.3464,,,37.9661
232,Зареченский район,Наезд на пешехода,14:20,10.04.2017,54.2217,,,37.6256
233,Центральный район,Наезд на пешехода,01:40,08.04.2017,54.2672,,,37.1006
234,Зареченский район,Наезд на пешехода,12:40,08.04.2017,54.12953,,,37.37806
235,Советский район,Наезд на пешехода,16:55,06.04.2017,54.3022,,,37.1006
236,Пролетарский район,Наезд на пешехода,14:35,06.04.2017,54.1853,,,37.6953
237,Центральный район,Наезд на пешехода,11:25,04.04.2017,5.2925,,,37.9522
238,Центральный район,Наезд на пешехода,19:03,03.04.2017,54.1678,,,37.9525
239,Пролетарский район,Наезд на пешехода,16:10,02.04.2017,54.2128,,,37.6983
240,Советский район,Наезд на пешехода,18:40,30.04.2017,54.3189,,,37.1019
241,Центральный район,Наезд на пешехода,22:30,19.04.2017,54.1286,,,37.6183
242,Советский район,Наезд на пешехода,07:30,18.04.2017,54.2686,,,37.9683
243,Центральный район,Наезд на пешехода,19:00,16.05.2017,54.2856,,,37.1
244,Пролетарский район,Наезд на пешехода,20:20,15.05.2017,54.3414,,,37.1011
245,Зареченский район,Наезд на пешехода,15:00,10.05.2017,54.36,,,37.1111
246,Центральный район,Наезд на пешехода,15:25,07.05.2017,54.1831,,,37.6086
247,Центральный район,Наезд на пешехода,19:54,07.05.2017,54.1919,,,37.6278
248,Центральный район,Наезд на пешехода,16:45,07.05.2017,54.1636,,,37.5869
249,Зареченский район,Наезд на пешехода,13:00,06.05.2017,54.1017,,,37.1311
250,Привокзальный район,Наезд на пешехода,10:30,05.05.2017,54.7833,,,37.1006
251,Зареченский район,Наезд на пешехода,14:20,04.05.2017,54.215,,,37.6144
252,Советский район,Наезд на пешехода,18:00,04.05.2017,54.6522,,,37.6447
253,Центральный район,Наезд на пешехода,23:45,31.05.2017,54.1556,,,37.5997
254,Центральный район,Наезд на пешехода,13:00,28.05.2017,54.3172,,,37.1006
255,Привокзальный район,Наезд на пешехода,22:45,26.05.2017,54.1706,,,37.5736
256,Центральный район,Наезд на пешехода,10:45,26.05.2017,54.2236,,,37.9594
257,Привокзальный район,Наезд на пешехода,16:30,24.05.2017,54.3308,,,37.9192
258,Пролетарский район,Наезд на пешехода,07:15,24.05.2017,54.3353,,,37.9072
259,Привокзальный район,Наезд на пешехода,13:00,24.05.2017,54.9583,,,37.5694
260,Советский район,Наезд на пешехода,09:50,22.05.2017,54.1997,,,37.5853
261,Центральный район,Наезд на пешехода,10:40,20.05.2017,51.1853,,,37.6125
262,Привокзальный район,Наезд на пешехода,22:02,17.05.2017,54.2697,,,37.9681
263,Пролетарский район,Наезд на пешехода,12:40,11.06.2017,54.14306,,,37.35183
264,Советский район,Наезд на пешехода,16:30,08.06.2017,54.2186,,,37.6022
265,Зареченский район,Наезд на пешехода,14:45,08.06.2017,54.2186,,,37.6022
266,Пролетарский район,Наезд на пешехода,17:20,07.06.2017,54.11702,,,37.36423
267,Пролетарский район,Наезд на пешехода,10:15,05.06.2017,54.1928,,,37.6864
268,Центральный район,Наезд на пешехода,00:55,04.06.2017,54.1719,,,37.6344
269,Центральный район,Наезд на пешехода,20:10,02.06.2017,54.1714,,,37.6031
270,Зареченский район,Наезд на пешехода,07:25,02.06.2017,54.3817,,,37.1147
271,Зареченский район,Наезд на пешехода,07:25,02.06.2017,54.3817,,,37.1147
272,Центральный район,Наезд на пешехода,23:10,30.06.2017,54.1561,,,37.6
273,Центральный район,Наезд на пешехода,10:20,29.06.2017,54.1911,,,37.6183
274,Зареченский район,Наезд на пешехода,16:15,27.06.2017,54.2122,,,37.6253
275,Пролетарский район,Наезд на пешехода,18:25,27.06.2017,54.1939,,,37.6736
276,Пролетарский район,Наезд на пешехода,10:02,25.06.2017,54.1853,,,37.6931
277,Зареченский район,Наезд на пешехода,18:49,24.06.2017,54.2275,,,37.6319
278,Зареченский район,Наезд на пешехода,21:20,23.06.2017,54.2519,,,37.6008
279,Пролетарский район,Наезд на пешехода,17:05,21.06.2017,54.1933,,,37.6942
280,Центральный район,Наезд на пешехода,20:00,20.06.2017,54.3019,,,37.1125
281,Пролетарский район,Наезд на пешехода,14:50,19.06.2017,54.1172,,,37.1533
282,Центральный район,Наезд на пешехода,13:40,15.07.2017,54.195,,,37.6231
283,Советский район,Наезд на пешехода,11:25,12.07.2017,54.1964,,,37.6067
284,Пролетарский район,Наезд на пешехода,16:30,10.07.2017,54.1547,,,37.2356
285,Пролетарский район,Наезд на пешехода,20:45,08.07.2017,54.3175,,,37.1186
286,Привокзальный район,Наезд на пешехода,15:00,31.07.2017,54.2692,,,37.9572
287,Пролетарский район,Наезд на пешехода,23:45,31.07.2017,54.2108,,,37.6689
288,Советский район,Наезд на пешехода,09:00,24.07.2017,54.2017,,,37.6044
289,Зареченский район,Наезд на пешехода,10:30,23.07.2017,54.2392,,,37.6381
290,Привокзальный район,Наезд на пешехода,11:10,18.07.2017,54.165,,,37.5783
291,Привокзальный район,Наезд на пешехода,10:50,17.07.2017,54.1919,,,37.5411
292,Центральный район,Наезд на пешехода,20:30,29.08.2017,54.1353,,,37.5692
293,Центральный район,Наезд на пешехода,07:45,29.08.2017,54.1706,,,37.6175
294,Центральный район,Наезд на пешехода,09:30,28.08.2017,54.3025,,,37.1008
295,Зареченский район,Наезд на пешехода,09:40,28.08.2017,54.3669,,,37.1006
296,Пролетарский район,Наезд на пешехода,00:30,27.08.2017,54.2069,,,37.5847
297,Центральный район,Наезд на пешехода,20:00,24.08.2017,54.1767,,,37.6292
298,Привокзальный район,Наезд на пешехода,01:05,21.08.2017,54.1133,,,37.5564
299,Центральный район,Наезд на пешехода,09:20,21.08.2017,54.1928,,,37.9906
300,Центральный район,Наезд на пешехода,11:50,19.08.2017,54.2856,,,37.1067
301,Пролетарский район,Наезд на пешехода,00:30,18.08.2017,54.1917,,,37.6883
302,Пролетарский район,Наезд на пешехода,19:00,17.08.2017,54.185,,,37.6925
303,Пролетарский район,Наезд на пешехода,10:00,14.09.2017,54.3936,,,37.1019
304,Пролетарский район,Наезд на пешехода,09:45,13.09.2017,54.2103,,,37.6619
305,Центральный район,Наезд на пешехода,17:00,11.09.2017,54.2425,,,37.9711
